"Origin","Dest","Date","breeding.cows","steers","heifers","calves","batch.size"
1,25,2008-12-10,0,43,0,0,43
1,25,2008-12-10,0,41,0,0,41
3,88,2009-07-30,0,0,0,24,24
2,25,2008-12-10,0,42,0,0,42
5,13,2008-12-20,0,0,12,0,12
5,7,2008-12-20,0,0,8,0,8
15,18,2012-07-05,24,0,0,0,24
15,18,2011-12-27,0,0,0,3,3
15,18,2010-08-26,0,0,13,0,13
15,19,2010-11-07,0,0,0,1,3
15,19,2009-04-04,0,10,0,19,29
15,7,2011-07-05,0,0,0,10,10
15,7,2009-10-14,0,0,0,10,10
15,88,2011-12-15,0,0,0,14,14
15,88,2009-09-10,0,0,0,14,14
15,106,2012-06-28,0,0,0,10,10
15,26,2011-01-03,0,0,0,5,5
13,4,2008-09-04,8,0,0,0,8
13,14,2012-02-04,0,0,0,4,4
13,14,2009-04-06,0,0,0,4,4
13,17,2009-11-04,0,0,6,0,6
13,20,2011-06-16,0,0,0,0,1
13,8,2011-12-01,0,8,0,0,8
13,10,2009-05-03,0,16,4,0,20
13,7,2009-09-23,0,0,0,6,6
13,88,2011-07-02,0,0,0,0,1
13,93,2011-07-02,0,0,0,0,1
23,22,2008-10-12,1,0,0,0,1
23,21,2008-10-02,1,0,0,0,1
18,19,2010-11-07,0,0,0,1,2
18,7,2011-07-17,0,0,0,10,10
18,7,2009-08-26,0,0,0,10,10
18,88,2011-12-15,0,0,0,22,22
18,88,2009-09-10,0,0,0,8,8
18,106,2011-07-04,0,0,0,10,10
18,106,2011-01-03,0,0,0,10,10
9,13,2010-10-24,0,0,0,0,1
9,10,2011-10-18,0,0,0,8,8
9,10,2011-06-12,0,0,0,10,10
9,10,2010-06-20,0,0,0,10,10
9,10,2010-10-12,0,0,0,10,10
9,10,2010-10-12,0,0,0,10,10
9,10,2009-06-14,0,0,0,10,10
9,10,2009-06-21,0,0,0,10,10
9,10,2009-09-08,0,0,0,10,10
9,10,2008-10-11,0,0,0,10,10
9,10,2008-11-25,0,0,0,5,5
9,10,2008-11-25,0,0,0,10,10
4,29,2012-11-01,0,0,0,24,24
4,29,2012-06-17,0,0,0,12,12
4,29,2011-12-21,0,0,0,4,4
11,13,2010-04-15,16,0,0,0,16
11,13,2010-03-31,7,0,0,0,7
35,116,2009-06-01,0,0,15,0,15
12,13,2011-10-19,60,0,0,0,60
12,13,2011-11-06,0,0,39,0,39
12,10,2009-05-01,0,0,0,18,18
12,10,2008-09-02,0,0,0,22,22
19,106,2009-12-14,0,38,0,0,38
14,11,2013-02-24,0,0,1,0,1
14,8,2012-03-26,0,2,0,0,2
17,13,2011-07-04,5,0,22,0,27
17,13,2009-09-04,0,0,4,0,4
17,13,2009-01-03,0,0,0,5,5
17,7,2011-07-04,0,0,7,0,7
30,88,2009-08-02,0,0,0,17,17
20,116,2012-03-06,0,0,0,12,12
20,22,2012-06-25,0,0,0,5,5
20,88,2012-02-22,14,0,0,1,15
20,102,2012-07-01,0,0,0,25,25
20,102,2012-03-10,0,0,0,20,20
20,106,2011-02-05,0,0,0,24,24
20,33,2012-01-11,0,0,0,30,30
20,25,2008-12-14,0,50,0,0,50
20,25,2008-12-14,0,45,0,0,45
28,10,2011-02-04,0,0,0,40,40
51,55,2013-01-19,0,16,0,0,16
51,49,2012-06-11,0,0,2,0,2
44,25,2008-12-10,0,14,0,0,14
44,25,2008-12-10,0,16,0,0,16
44,25,2008-12-10,0,11,0,0,11
46,55,2011-09-23,0,0,0,1,1
46,55,2011-06-30,0,0,0,1,1
48,55,2009-11-17,0,0,0,1,1
45,55,2008-10-11,0,0,0,0,1
45,91,2010-09-12,0,0,0,2,2
45,91,2009-09-12,0,0,0,2,2
45,91,2008-09-15,0,0,0,0,1
37,88,2009-11-21,0,0,0,25,25
37,88,2009-04-29,0,0,0,35,35
37,120,2013-04-07,0,0,0,36,36
37,120,2011-10-05,0,0,0,22,22
40,25,2008-12-10,0,37,0,0,37
40,25,2008-12-10,0,44,0,0,44
