"","farm.id","type","size","long","lat","state"
"1",1,"Fattening",354,6194008.7847562,567599.815074303,0
"2",3,"Dairy",203,6181086.72378629,559118.663023982,0
"3",2,"Fattening",250,6196089.5548941,562336.37327915,0
"4",5,"Dairy",994,6207397.67655718,474646.442324063,0
"5",15,"Dairy",544,6221094.47669537,413707.216186739,0
"6",13,"Dairy",87,6205883.94793364,421178.521769399,0
"7",23,"Small farm",2,6236371.66328755,418475.826982124,0
"8",18,"Dairy",506,6219960.03070819,414742.643977465,0
"9",29,"Fattening",718,6217397.78695917,443500.834484361,0
"10",9,"Dairy",132,6206142.8864124,417299.258245147,0
"11",4,"Breeding",154,6197752.66284285,467084.787676493,0
"12",11,"Dairy",243,6202357.80769127,423249.402386463,0
"13",35,"Dairy",29,6234862.05768036,473525.576627594,0
"14",12,"Dairy",263,6208220.23022105,420586.663223614,0
"15",6,"Fattening",400,6196000.89353169,472003.420217951,1
"16",19,"Breeding",1148,6237385.87809717,403995.08155036,0
"17",14,"Fattening",26,6203881.89388058,423992.156538363,0
"18",17,"Breeding",44,6221143.16250047,404291.115655948,0
"19",30,"Dairy",190,6211989.17550943,438654.908370346,0
"20",20,"Dairy",2306,6236632.41130485,412243.220525559,0
"21",28,"Dairy",408,6217558.45502235,424615.592335336,0
"22",51,"Dairy",58,6439075.41700272,427117.167000741,0
"23",64,"Fattening",1361,6452967.03588139,434409.375244265,0
"24",57,"Breeding",489,6468110.06329482,412719.266044458,0
"25",44,"Fattening",240,6287353.7651933,576691.537503147,0
"26",46,"Dairy",128,6455957.00521334,444858.077322755,0
"27",61,"Breeding",442,6495678.43907328,425724.286856274,0
"28",48,"Breeding",19,NA,NA,0
"29",45,"Breeding",38,6463610.79003379,430623.17297686,0
"30",37,"Dairy",478,6275247.08462567,504169.483929259,0
"31",40,"Fattening",1142,6261641.88406332,568280.084802481,0
"32",41,"Dairy",280,6231566.2247509,600363.885353782,0
"33",55,"Breeding",451,6423513.14325942,428186.321375503,0
"34",38,"Fattening",154,6295118.70512474,520164.77852972,0
"35",39,"Dairy",1039,6220975.6997517,560230.571202302,1
"36",53,"Breeding",21,6421773.16306034,425291.379095858,0
"37",63,"Breeding",987,6460994.23816152,474864.15849267,0
"38",72,"Breeding",991,6429083.24918982,461875.560417017,0
"39",111,"Dairy",39,6270606.96967251,450211.24205504,0
"40",67,"Breeding",683,6430413.66481286,483787.419310267,0
"41",70,"Complete cycle",994,6416631.31261389,449448.107060283,0
"42",105,"Fattening",435,6262465.16666092,432472.481374801,0
"43",119,"Fattening",198,6260991.8280423,467960.348052504,1
"44",95,"Dairy",1056,6279773.97025015,435893.048696796,0
"45",74,"Fattening",1503,6393041.94022387,413623.590589363,0
"46",113,"Breeding",13,6268135.42163696,454185.386089728,0
"47",91,"Fattening",466,6171286.92504014,527315.987339701,0
"48",115,"Growing",451,6278992.88674825,445494.319410888,0
"49",116,"Dairy",120,6267057.24357631,458423.345364682,0
"50",96,"Dairy",266,6287122.4376133,427440.013680528,1
"51",71,"Complete cycle",15,6432908.75912268,436982.841578513,0
"52",86,"Dairy",170,6179926.16435126,522727.626904837,0
"53",76,"Dairy",1832,6369886.16611926,450988.077828731,0
